question,answer,baseline,L6-P4,L6-P6,L8-P4,L8-P6,L10-P4,L10-P6,L12-P4,L14-P4,L16-P4,L18-P4,L20-P4,L22-P4,L24-P4,L26-P4,L28-P4,L30-P4
What is the capital of Yemen?,"['Sanaa', 'Sanaa', 'Sana', 'Ṣan‘ā’', 'Sana‘a', 'Amanat Al-Asemah', 'Amanat al-Asimah', 'Amanat Al Asimah']",The capital of Yemen is Sana'a.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Nero?,['Gnaeus Domitius Ahenobarbus'],The father of Nero was Gnaeus Domitius Ahenobarbus.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Hyderabad the capital of?,"['Andhra Pradesh', 'A.P', 'Telangana']",Hyderabad is the capital of the Indian state of Telangana.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Somalia?,"['Mogadishu', 'Xamar', 'The Seat of the Shah', 'Hamar', 'Maqadīshū']",The capital of Somalia is Mogadishu.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Léon: The Professional?,"['Luc Besson', 'Luc Paul Maurice Besson']",The director of Léon: The Professional (1994) was Luc Besson.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Léon: The Professional?,"['Luc Besson', 'Luc Paul Maurice Besson']",The screenwriter for Léon: The Professional (1994) was Luc Besson.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Mark Twain?,['John Marshall Clemens'],The father of Mark Twain (Samuel Langhorne Clemens) was John Marshall Clemens.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Babylon the capital of?,"['Achaemenid Empire', 'First Persian Empire', 'Persian Empire', 'Persia', 'Achaemenid Persian Empire', 'Persian Achaemenid Empire', 'Achaemenid Persia', 'Neo-Babylonian Empire']","Babylon is the capital of ancient Mesopotamia, specifically the Neo-Babylonian Empire.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What color is Atlético de Madrid?,"['red', 'red color']",Atlético de Madrid's primary colors are red and white.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What sport does Atlético de Madrid play?,"['association football', 'football', 'soccer']",Atlético de Madrid plays football (soccer).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Quebec?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']",The capital of Quebec is Quebec City (French: Québec).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Seychelles?,"['Victoria', 'Port Victoria', 'Victoria, Seychelles']",The capital of Seychelles is Victoria.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for The Dark Knight Rises?,"['Christopher Nolan', 'Christopher Jonathan James Nolan', 'Nolan', 'Christopher Edward Nolan', 'Jonathan Nolan']","The screenwriter for The Dark Knight Rises was Christopher Nolan, along with his brother Jonathan Nolan.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Kyrgyzstan?,"['Bishkek', 'Frunze', 'Pishpek']",The capital of Kyrgyzstan is Bishkek.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Slovenia?,"['Ljubljana', 'Ljubljana, Slovenia', 'Laibach', 'Lublana', 'Labacum', 'Aemona']",The capital of Slovenia is Ljubljana.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Tunisia?,['Tunis'],The capital of Tunisia is Tunis.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Liechtenstein?,['Vaduz'],The capital of Liechtenstein is Vaduz.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Belize?,"['Belmopan', 'The Garden City', 'The Planned City', 'City of Promise']",The capital of Belize is Belmopan.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Tiger Woods?,"['Earl Woods', 'Earl Dennison Woods']",The father of Tiger Woods is Earl Woods.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Libya?,['Tripoli'],The capital of Libya is Tripoli.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of The Departed?,"['Brad Pitt', 'William Bradley Pitt', 'Brad Jolie-Pitt', 'Graham King']",The producer of The Departed (2006) was Graham King.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Peru?,"['Lima', 'City of the Kings']",The capital of Peru is Lima.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Jerusalem the capital of?,"['Jerusalem District', 'Mandatory Palestine', 'British Mandate for Palestine', 'Palestine', 'British Palestine', 'Mandate Palestine', 'State of Palestine', '🇵🇸', 'Palestinian state', 'Palestine', 'Palestinian National Authority', 'Palestinian Authority', 'Judah', 'Kingdom of Judah', 'Kingdom of Judea', 'Southern Kingdom', 'Kingdom Of Judah', 'Kingdom of Jerusalem', 'Latin Kingdom of Jerusalem', 'Jerusalem', 'Israel', 'State of Israel', 'il', '🇮🇱', 'Holy Land', 'the Jewish state', 'ISR']",Jerusalem is the capital of Israel.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Slovakia?,"['Bratislava', 'Pressburg', 'Pozsony', 'Presburg']",The capital of Slovakia is Bratislava.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Kuwait?,"['Kuwait City', 'Al Kuwait', 'Kuwait', 'al-Kuwait']",The capital of Kuwait is Kuwait City.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Seven?,['Arnold Kopelson'],"The producer of the 1995 film ""Seven"" was Arnold Kopelson.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Seven?,"['David Fincher', 'David Andrew Leo Fincher']","The director of the 1995 film ""Seven"" was David Fincher.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Seven?,['Andrew Kevin Walker'],The screenwriter for the 1995 film Seven was Andrew Kevin Walker.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Paul?,"['Christianity', 'Christian faith', 'Judaism', 'Jewish', 'Jewish religion']","Paul, also known as Saul of Tarsus, was a Jewish Christian. He was born into a Jewish family and was a Pharisee before his conversion to Christianity.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Let It Be?,"['Phil Spector', 'Harvey Phillip Spector', 'Phillip Harvey Spector', '00029306983 IPI']","The producer of the Beatles' album ""Let It Be"" was Phil Spector.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Budapest the capital of?,"['Kingdom of Hungary', 'Hungary', 'Transleithania', 'Hungary', 'hu', '🇭🇺', 'HUN']",Budapest is the capital of Hungary.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Russian Empire?,"['Saint Petersburg', 'St. Petersburg', 'Petrograd', 'Leningrad', 'Petersburg', 'Sankt-Peterburg', 'St Petersburg']",The capital of the Russian Empire was Saint Petersburg (also known as Leningrad from 1924 to 1991).,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of Beloved?,"['Toni Morrison', 'Chloe Ardelia Wofford', 'Chloe Anthony Wofford-Morrison', 'Chloe Anthony Wofford', 'Morrison', 'Chloe Anthony Wofford Morrison']",The author of Beloved is Toni Morrison.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Suriname?,['Paramaribo'],The capital of Suriname is Paramaribo.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Alien?,"['Ridley Scott', 'Sir Ridley Scott']",The director of the 1979 film Alien was Ridley Scott.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What color is apple?,"['red', 'red color']","Apple is typically associated with the color RED, as seen in their iconic logo and branding.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Moses?,"['Amram', 'Imran', 'Amran']","According to the biblical account, Moses' father is Amram, and his mother is Jochebed.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Carrie?,"['Brian De Palma', 'Brian Russell De Palma']","The producer of the 1976 film ""Carrie"" was Brian De Palma.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is League of Legends?,"['multiplayer online battle arena', 'MOBA', 'ARTS', 'action real-time strategy', 'hero brawler', 'team brawler', 'Aeon of Strife']",League of Legends is a multiplayer online battle arena (MOBA) game.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Liberia?,['Monrovia'],The capital of Liberia is Monrovia.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Sydney the capital of?,"['New South Wales', 'NSW', 'N.S.W.']","Sydney is the capital of New South Wales (NSW), a state in Australia.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Apollo?,['Zeus'],"The father of Apollo is Zeus, the king of the gods in Greek mythology.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Apollo?,['Leto'],The mother of Apollo is Leto.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Himachal Pradesh?,"['Shimla', 'Simla', 'Queen of Hills']",The capital of Himachal Pradesh is Shimla.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of George S. Patton?,"['George S. Patton', 'George Smith Patton', 'George Smith Patton Jr.', 'George Smith Patton II']",The father of George S. Patton was George Patton Sr.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Eritrea?,"['Asmara', 'Asmera']",The capital of Eritrea is Asmara.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Citizen Kane?,"['Orson Welles', 'George Orson Welles']",The director of Citizen Kane was Orson Welles.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Grease?,"['musical film', 'musical movie', 'romantic comedy', 'romedy', 'romcom']","Grease is a musical romantic comedy film, primarily classified under the genre of Musical.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the director of Grease?,"['Randal Kleiser', 'John Randal Kleiser']",The director of the 1978 film Grease was Randal Kleiser.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Aung San Suu Kyi?,"['Aung San', 'General Aung San', 'Bogyoke Aung San']","Aung San Suu Kyi's father is Aung San, a Burmese politician and independence activist.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Aung San Suu Kyi?,['Khin Kyi'],The mother of Aung San Suu Kyi is Khin Kyi.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Barcelona the capital of?,"['Catalonia', 'Catalunya', 'Cataluña', 'Catalonha', 'Autonomous community of Catalonia', 'Barcelona Province', 'Province of Barcelona', 'provincia de Barcelona']","Barcelona is the capital of the autonomous community of Catalonia, Spain.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Austin the capital of?,"['Texas', 'TX', 'Lone Star State', 'Texas, United States', 'State of Texas', 'US-TX', 'Tex.']",Austin is the capital of Texas!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Sacramento the capital of?,"['California', 'CA', 'State of California', 'The Golden State', 'Calif.']",Sacramento is the capital of California!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Sinaloa Cartel?,"['Mexico', 'MX', 'mx', 'United Mexican States', 'Mexican Republic', 'MEX', '🇲🇽']","The Sinaloa Cartel is primarily based in Mexico, particularly in the state of Sinaloa.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Empire of Japan?,"['Shinto', 'Shintoism', 'Shintō', 'Shindo']","The Empire of Japan was officially Shintoist, with the state promoting Shinto rituals and practices. However, the Japanese government also officially recognized Buddhism and allowed its followers to practice their religion freely.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Empire of Japan?,"['Tokyo', 'Tōkyō', 'Tôkyô', 'Tokyo-to', 'Tokyo Metropolitan prefecture', 'Tōkyō-to', 'Tôkyô-to', 'Tokyo Metropolis', 'Tokio', 'Tokyo Prefecture']",The capital of the Empire of Japan was Tokyo.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Brunei?,"['Bandar Seri Begawan', 'Bandar', 'BSB', 'Seri Begawan', 'Brunei Town', 'Bandar Brunei']",The capital of Brunei is Bandar Seri Begawan.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Famke Janssen's occupation?,"['screenwriter', 'scenarist', 'writer', 'screen writer', 'script writer', 'scriptwriter', 'actor', 'actress', 'actors', 'actresses', 'model', 'fashion model', 'sitter', 'poser']","Famke Janssen is an actress, model, and screenwriter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Confederate States of America?,"['Montgomery', 'Montgomery, Alabama', 'Montgomery, AL', 'Richmond', 'Richmond, Virginia', 'Richmond, VA', 'Richmond City']","The capital of the Confederate States of America was Richmond, Virginia.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Beijing the capital of?,"[""People's Republic of China"", 'China', 'CN', 'PR China', 'PRC', 'cn', 'CHN', '🇨🇳', 'China PR', 'Mainland China', 'Beiyang Government', 'Taiwan', 'Republic of China', 'Chunghwa Minkwo', 'Chunghwa Minkuo', 'Formosa', 'Nationalist China', 'Free China', 'Free area of the Republic of China', 'Republic of China (Taiwan)', 'Chinese Taipei', '🇹🇼', 'TW', 'ROC', 'Taiwan ROC', 'China, Republic', 'TWN', 'China (formerly known as)', 'Qing dynasty', 'Empire of the Great Qing', 'Great Qing', 'Qing Empire', 'Manchu Empire', 'Manchu Dynasty', 'Qing China', 'Manchu China', ""Ch'ing Dynasty"", ""Ch'ing Empire"", ""Ch'ing China""]",Beijing is the capital of China.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Rent?,"['Jonathan Larson', 'Jonathan David Larson']",The composer of Rent is Jonathan Larson.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the author of Rent?,"['Jonathan Larson', 'Jonathan David Larson']","The authors of the musical Rent are Jonathan Larson, who wrote the music, lyrics, and book.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Curaçao?,"['Willemstad', 'Williamtown', 'Willemtown']",The capital of Curaçao is Willemstad.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Laos?,"['Vientiane', 'Bientani', 'Viangchan', 'Vientane', ""Wei-t'ien"", 'Vieṅ Čan', 'Vieṅg-Čăn', 'Wīangčhan', 'Viang chan', 'Vyentyan', 'Wiangcan', 'Vienchan', 'Viengchan', 'Nakhon Viangchan', 'Vien Chang', 'Vieng-Cæn']",The capital of Laos is Vientiane.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Social Network?,"['Trent Reznor', 'Michael Trent Reznor']","The composer of the score for The Social Network (2010) was Trent Reznor, along with Atticus Ross.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Vienna the capital of?,"['Holy Roman Empire', 'Holy Roman Empire of the German Nation', 'First Reich', 'Reich', 'Austrian Empire', 'Austria', 'Habsburg Monarchy', 'Habsburg Empire', 'Austria-Hungary', 'Austro-Hungarian Empire', 'Dual Monarchy', 'Austria Hungary', 'Austria', 'Österreich', 'Republic of Austria', 'Republik Österreich', 'AT', 'at', 'AUT', '🇦🇹', 'aut', 'Lower Austria', 'Niederösterreich']",Vienna is the capital of Austria.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Al Gore?,"['Albert Arnold Gore', 'Albert Arnold Gore, Sr.', 'Al Gore', 'Albert Arnold ""Al"" Gore, Sr.', 'Albert A. Gore, Sr.', 'Albert Gore, Sr.']",The father of Al Gore is Albert Gore Sr.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the mother of Al Gore?,['Pauline LaFon Gore'],The mother of Al Gore is Pauline LaFon Gore.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of German Democratic Republic?,"['East Berlin', 'Soviet zone of Berlin', 'Berlin-Ost', 'Ostberlin', 'Soviet sector of Berlin', 'Berlin, Hauptstadt der DDR', 'Berlin Hauptstadt der DDR']",The capital of the German Democratic Republic (GDR) was East Berlin.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Rwanda?,['Kigali'],The capital of Rwanda is Kigali.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the producer of Toy Story?,['Ralph Guggenheim'],The producer of Toy Story was Ralph Guggenheim.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Toy Story?,"['John Lasseter', 'John Alan Lasseter', 'John A. Lasseter', 'Joss Whedon', 'Joseph Hill Whedon', 'Andrew Stanton', 'Andrew Christopher Stanton Jr.', 'Andrew Ayers Stanton', 'Pete Docter', 'Peter Docter', 'Peter Hans Docter', 'Alec Sokolow', 'Alec William Sokolow', 'Joe Ranft', 'Joseph Henry Ranft']","The screenwriter for Toy Story (1995) was Joss Whedon, along with Joel Cohen, Alec Sokolow, and John Lasseter.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Toy Story?,"['Randy Newman', 'Randall Stuart Newman', 'Randall S. Newman']",The composer of the Toy Story soundtrack is Randy Newman.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Johann Sebastian Bach?,"['baroque music', 'Baroque', 'Baroque Music', 'Baroque period', 'music of the Baroque', 'Baroque era', 'Western classical music', 'Western art music', 'European classical music', 'Classical music']",Johann Sebastian Bach is a Baroque composer.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who is the father of Johann Sebastian Bach?,['Johann Ambrosius Bach'],Johann Sebastian Bach's father was Johann Ambrosius Bach.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Alabama?,"['Montgomery', 'Montgomery, Alabama', 'Montgomery, AL']",The capital of Alabama is Montgomery.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the religion of Lord's Prayer?,"['Christianity', 'Christian faith']","The Lord's Prayer, also known as the Our Father, is a Christian prayer. It is a central prayer in Christianity, and is often recited in Christian worship services.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Bolivia?,"['Sucre', 'Charcas', 'La Plata', 'Chuquisaca', 'Historic City of Sucre']",The capital of Bolivia is Sucre.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the screenwriter for Troy?,"['David Benioff', 'David Friedman']","The screenwriter for the 2004 film ""Troy"" was David Benioff.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Troy?,"['James Horner', 'James Roy Horner']",The composer of the soundtrack for the 2004 film Troy was James Horner.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Trinidad and Tobago?,"['Port of Spain', 'Port-of-Spain', 'Puerto España']",The capital of Trinidad and Tobago is Port of Spain.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
In what country is Greek?,"['United Kingdom', '🇬🇧', 'UK', 'United Kingdom of Great Britain and Northern Ireland', 'U.K.', 'GBR', 'GB', 'U. K.', 'U K', 'G.B.', 'G. B.', 'G B', 'Great Britain', 'G.B.R.', 'G B R', 'Britain', 'Great Britain and Northern Ireland', 'Russia', 'Rossiya', 'Rossija', 'RU', 'ru', 'Rossijskaja Federatsija', 'Russian Federation', 'Rossiyskaya Federatsiya', 'Rus', 'RUS', 'RF', 'Canada', 'Dominion of Canada', 'British North America', 'CAN', 'CA', 'ca', 'can', 'Can.', 'Germany', 'FRG', 'BRD', 'Bundesrepublik Deutschland', 'Federal Republic of Germany', 'de', 'Deutschland', 'GER', 'BR Deutschland', 'DE', 'Ukraine', 'UA', 'UKR', 'ua', 'Ukrainia', '🇺🇦', 'Ukr.', 'Ukraina', 'Albania', 'Republic of Albania', 'al', 'Republika e Shqipërisë', 'Shqipërisë', '🇦🇱', 'ALB', 'Cyprus', 'cy', '🇨🇾', 'Greek Cypriot State', 'Republic of Cyprus', 'Greek Administration of Southern Cyprus', 'Kazakhstan', 'Republic of Kazakhstan', 'kz', 'Qazaqstan', 'KAZ', '🇰🇿', 'Abkhazia', 'Abkhasia', 'Abkazia', 'Abchasia', 'Abkhaziya', 'United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica"", 'Sweden', 'Kingdom of Sweden', 'SE', 'se', 'SWE', '🇸🇪', 'Italy', 'Italia', 'Italian Republic', 'IT', '🇮🇹', 'ITA', 'Armenia', 'Republic of Armenia', '🇦🇲', 'ARM', 'AM', 'Australia', 'Commonwealth of Australia', 'AU', 'AUS', 'au', 'British Colony of Australia', '🇦🇺', 'Straya', 'Aussieland', 'Greece', 'Hellenic Republic', 'Hellas', 'gr', 'el', '🇬🇷', 'Greek Republic', 'GRE', 'Ellada', 'Greek', 'Turkey', 'Republic of Turkey', '🇹🇷', 'TUR', 'TR', 'Egypt', 'Republic of Egypt', 'eg', 'EGY', '🇪🇬', 'Arab Republic of Egypt', 'Arab Rep. Egypt', 'Rep. Egypt', 'Israel', 'State of Israel', 'il', '🇮🇱', 'Holy Land', 'the Jewish state', 'ISR']","Greek is spoken in Greece, a country located in Southeastern Europe.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of Frozen?,"['Christophe Beck', 'Jean-Christophe Beck', 'Robert Lopez', 'Robert Joseph Lopez', 'Kristen Anderson-Lopez', 'Kristen Anderson', 'Kristen Jane Anderson']",The composers of the Disney movie Frozen (2013) are Kristen Anderson-Lopez and Robert Lopez.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Simon Le Bon?,"['pop music', 'pop', 'Pop']","A clever question! Simon Le Bon is the lead vocalist of the British band Duran Duran, which is a iconic New Wave and Synth-Pop band of the 1980s!",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is Beck?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock', 'anti-folk', 'antifolk', 'unfolk', 'Anti-Folk']","Beck is a genre-bending artist, but his music is often classified under the genres of:

* Alternative rock
* Indie rock
* Folk rock
* Experimental rock

Beck's music often incorporates elements from multiple genres, making him a unique and influential artist in the music world.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Tajikistan?,"['Dushanbe', 'Dyushambe', 'Stalinabad']",The capital of Tajikistan is Dushanbe.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Ecuador?,"['Quito', 'San Francisco de Quito', 'Quito, Ecuador', 'UIO']",The capital of Ecuador is Quito!,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Who was the composer of The Last of Us?,"['Gustavo Santaolalla', 'Gustavo Alfredo Santaolalla']",The composer of the soundtrack for The Last of Us is Gustavo Santaolalla.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is Melbourne the capital of?,"['Victoria', 'VIC', 'Victoria, Australia', 'State of Victoria', 'State of VIC', 'Vic.']",Melbourne is the capital of the Australian state of Victoria.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of San Marino?,"['San Marino', 'City of San Marino']",The capital of San Marino is San Marino City.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Mauritania?,"['Nouakchott', 'Nouakchott, Mauritania', 'Nawākshūṭ', 'Nawakshut', 'Capital of Mauritania', 'Nouakchot', 'Noukchott', 'Nuwākshūṭ']",The capital of Mauritania is Nouakchott.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What genre is The Challenge?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",The Challenge is a reality TV show that falls under the genre of Competition Reality TV.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of South Sudan?,['Juba'],The capital of South Sudan is Juba.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
What is the capital of Uganda?,['Kampala'],The capital of Uganda is Kampala.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
