index,question,answer
11975,Who is the father of Ptolemy II of Telmessos?,"[""Lysimachus""]"
12000,Who was the director of The Answer?,"[""Walter West"", ""Walter Alabaster West""]"
12025,What sport does Mark Jonas play?,"[""association football"", ""football"", ""soccer""]"
12050,In what country is Nalbandyan?,"[""Armenia"", ""Republic of Armenia"", ""🇦🇲"", ""ARM"", ""AM""]"
12075,Who was the director of Reducing?,"[""Charles Reisner""]"
12100,Who is the author of Nevada?,"[""Steve Gerber"", ""Stephen Ross Gerber""]"
12125,In what city was John Johnson born?,"[""LaGrange"", ""LaGrange, Georgia"", ""La Grange""]"
12150,Who was the producer of The Rat?,"[""Herbert Wilcox"", ""Herbert Sydney Wilcox""]"
12175,Who is the author of Merry Tales?,"[""Mark Twain"", ""Samuel Langhorne Clemens"", ""Samuel L. Clemens"", ""Samuel Clemens""]"
12200,What is Krushari the capital of?,"[""Krushari Municipality"", ""Krushari Obshtina""]"
12225,Who was the director of Love Story?,"[""Mario Camerini""]"
12250,Who was the producer of Western Jamboree?,"[""Smiley Burnette"", ""Lester Alvin Burnett"", ""Gene Autry"", ""Orvon Grover Autry"", ""Orvon Gene Autry"", ""Jean Rouverol"", ""Jean Rouverol Butler""]"
12275,Who was the director of Conspiracy?,"[""Lew Landers"", ""Louis Friedlander""]"
12300,What sport does Kim Sung-gan play?,"[""association football"", ""football"", ""soccer""]"
12325,What is Guo Gengmao's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]"
12350,In what country is Lent?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]"
12375,In what country is Reppisch?,"[""Switzerland"", ""Swiss Confederation"", ""SUI"", ""Suisse"", ""Schweiz"", ""Svizzera"", ""Swiss"", ""CHE"", ""CH"", ""Confoederatio Helvetica""]"
12400,In what city was Hank Autry born?,"[""Hattiesburg"", ""Hattiesburg, Mississippi""]"
12425,Who was the director of Interview?,"[""J. Sasikumar""]"
12450,Who is the author of Thomas?,"[""Robin Jarvis""]"
12475,In what city was Billy McGinty born?,"[""Glasgow"", ""Glasgow, Scotland""]"
12500,Who is the author of The Gadget?,"[""Paul Zindel""]"
12525,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]"
12550,Who was the producer of All Because of You?,"[""Butch Walker""]"
12575,Who was the director of Here?,"[""Zrinko Ogresta""]"
12600,Who was the screenwriter for The Secret Call?,"[""Arthur Kober""]"
12625,Who was the screenwriter for Coralie Lansdowne Says No?,"[""Alex Buzo"", ""Alexander John Buzo"", ""Alexander Buzo""]"
12650,What genre is terminal?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]"
12675,Who was the director of The Sale?,"[""Hossein Shahabi""]"
12700,What sport does Ernest Savard play?,"[""ice hockey""]"
12725,What genre is Until I Met You?,"[""country music"", ""country and western"", ""country & western"", ""country"", ""Nashville sound""]"
12750,What is the capital of Biaroza District?,"[""Biaroza"", ""Bereza"", ""Bereza Kartuska"", ""Kartoz-Brezah"", ""Bereze"", ""Brezah"", ""Bjaroza"", ""Bereza Kartuskaya"", ""Biaroza Kartuzskaia"", ""Byaroza-Kartuzskaya"", ""Kartusskaya Bereza"", ""Kartuz Bereze"", ""Kartuz Bereza""]"
12775,In what country is El Limón?,"[""Venezuela"", ""Bolivarian Republic of Venezuela"", ""BR Venezuela"", ""VE"", ""🇻🇪"", ""Estados Unidos de Venezuela"", ""Vzla"", ""VEN""]"
12800,Who was the director of Competition?,"[""Tom Ricketts""]"
12825,Who was the screenwriter for Fourbi?,"[""Alain Tanner""]"
12850,Who was the director of The Other Person?,"[""Maurits Binger"", ""Maurits H. Binger""]"
12875,What genre is Right There?,"[""romantic comedy"", ""romedy"", ""romcom""]"
12900,Who was the producer of Just Like Us?,"[""Ahmed Ahmed""]"
12925,In what country is Perth?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]"
12950,Who is the father of But Why Not?,"[""Blue Larkspur""]"
12975,Who is the author of The Universe Around Us?,"[""James Hopwood Jeans"", ""James Jeans"", ""Sir James Jeans"", ""Sir James Hopwood Jeans""]"
13000,What genre is Background?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]"
13025,Who was the screenwriter for Boquitas pintadas?,"[""Manuel Puig"", ""Juan Manuel Puig Delledonne""]"
13050,In what city was Annika Billstam born?,"[""Uppsala"", ""Upsala""]"
13075,"In what country is Gąsiorowo, Legionowo County?","[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]"
13100,Who was the producer of Maling Kutang?,"[""Kinaryosih""]"
13125,Who was the composer of Alone?,"[""Evan Brewer""]"
13150,Who is the author of Shooting Sean?,"[""Colin Bateman"", ""Bateman""]"
13175,Who is the author of Let's Not?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]"
13200,In what country is Eschbronn?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]"
13225,Who was the screenwriter for Goodbye?,"[""Heddy Honigmann""]"
13250,Who was the composer of Time Machine?,"[""Michael Daugherty"", ""Michael Kevin Daugherty""]"
13275,In what city was Todd Sieben born?,"[""Geneseo"", ""Geneseo, Illinois""]"
13300,What genre is The Promoter?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]"
13325,In what city was Louis Joseph Troost born?,"[""Paris"", ""City of Light"", ""Paris, France""]"
13350,Who was the composer of Porch?,"[""Eddie Vedder"", ""Eddie Jerome Vedder"", ""Edward Louis Severson III""]"
13375,Who was the composer of One More Time?,"[""James LaBrie"", ""Kevin James LaBrie"", ""00219295358 IPI""]"
13400,"Who is the father of Sir Capel Molyneux, 3rd Baronet?","[""Sir Thomas Molyneux, 1st Baronet"", ""Lieutenant General Sir Thomas Molyneux, 1st Baronet"", ""Thomas Molyneux"", ""Sir Thomas Molyneux, 1st Bt.""]"
13425,Who was the director of Day by Day?,"[""Alfredo Giannetti""]"
13450,What genre is Betrayal?,"[""crime film"", ""crime movie""]"
13475,In what city was Johann Gregor Memhardt born?,"[""Linz""]"
13500,What sport does Luan Viana Patrocínio play?,"[""association football"", ""football"", ""soccer""]"
13525,What sport does 2006–07 Primera B Nacional play?,"[""association football"", ""football"", ""soccer""]"
13550,What is the religion of James MacManaway?,"[""Anglicanism"", ""Anglicanism, Anglican Church""]"
13575,What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]"
13600,What genre is Seven Veils?,"[""ambient music"", ""ambient"", ""Ambient""]"
13625,Who was the director of Victory?,"[""Mikhail Doller"", ""Mikhail Ivanovich Doller"", ""Vsevolod Pudovkin"", ""Vsevolod Illarionovich Pudovkin"", ""Wsewolod Illarionowitsch Pudowkin""]"
13650,In what city was Valentin Avrorin born?,"[""Tambov""]"
13675,In what country is Whited Township?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]"
13700,Who was the screenwriter for Three Loves in Rio?,"[""Carlos Hugo Christensen""]"
13725,What sport does Momo Wall Blamo play?,"[""association football"", ""football"", ""soccer""]"
13750,Who is the author of Something More?,"[""Paul Cornell"", ""Paul Douglas Cornell""]"
13775,Who was the producer of O skliros andras?,"[""Finos Film""]"
13800,What sport does Gergő Kovács play?,"[""association football"", ""football"", ""soccer""]"
13825,Who was the director of Vanity?,"[""Adrian Brunel"", ""Adrian Hope Brunel""]"
13850,Who is the author of Neglected Aspects of Sufi Study?,"[""Idries Shah"", ""Arkon Daraul""]"
13875,Who is the author of Bonaparte à Malte?,"[""Frans Sammut""]"
13900,What sport does Alexei Ugarov play?,"[""ice hockey""]"
13925,What sport does VOKO-Irodion play?,"[""volleyball""]"
13950,What genre is Drill?,"[""industrial rock""]"
13975,Who is the author of Sail?,"[""James Patterson"", ""James Brendan Patterson"", ""James B. Patterson""]"
14000,In what city was Anne Brusletto born?,"[""Geilo""]"
14025,In what city was Liam Carroll born?,"[""Kinnitty""]"
14050,What sport does Dan Parkinson play?,"[""association football"", ""football"", ""soccer""]"
14075,Who was the composer of To The West?,"[""Henry Russell""]"
14100,Who was the screenwriter for Fear No More?,"[""Adam Barr""]"
14125,What sport does José Luis Contaja play?,"[""association football"", ""football"", ""soccer""]"
14150,In what country is Korean Magazine Museum?,"[""South Korea"", ""Republic of Korea"", ""ROK"", ""kr"", ""Rep. Korea"", ""S. Korea"", ""Korea Republic"", ""🇰🇷"", ""KOR""]"
14175,What is Donald Robert Macgregor's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]"
14200,In what city was Jiří Vyčichlo born?,"[""Prague"", ""Praha"", ""Hlavní město Praha"", ""City of Prague""]"
14225,In what city was Gösta Eriksson born?,"[""Vaxholm""]"
14250,In what country is Izvorul Morarului River?,"[""Romania"", ""Roumania"", ""Rumania"", ""România"", ""ro"", ""🇷🇴""]"
