question,answer,baseline,index
Who was the screenwriter for Send Out the Clowns?,"[""Jeffrey Richman""]","The song ""Send in the Clowns"" was written by Stephen Sondheim for the 1973 musical ""A Little Night Music"".",7775
Who was the director of Atlantic?,"[""Ewald André Dupont"", ""Ewald Andre Dupont""]","The director of the 2019 film ""Atlantics"" is Mati Diop.",7800
Who is the father of Abel of Denmark?,"[""Valdemar II of Denmark""]","I think there may be some confusion here!

Abel of Denmark was a medieval Danish nobleman, but I couldn't find any information about his father.

If you meant to ask about a different person or topic, please feel free to rephrase your question!",7825
What is the capital of Fareham?,"[""Fareham""]","I think there may be a bit of confusion here!

Fareham is a town in Hampshire, England, and it does not have a capital. Fareham is a local government district, and its administrative centre is Fareham Town Hall.

I hope this clears up any confusion!",7850
What genre is Really Me?,"[""teen sitcom"", ""teen situation comedy""]",Really Me is a British coming-of-age comedy-drama television series that falls under the genre of Teen Drama.,7875
Who was the screenwriter for Mash-Up?,"[""Ian Brennan""]","The screenwriter for the 2005 film ""Hitch"" (not ""Mash-Up"") was Kevin Bisch.",7900
Who was the screenwriter for The Take?,"[""Naomi Klein""]","The screenwriter for the 2007 British television drama ""The Take"" was Danny Brocklehurst.",7925
What is the capital of Unity?,"[""Bentiu""]","I think there may be a bit of confusion here! Unity is not a country, so it doesn't have a capital. Unity is actually a popular game engine used to create 2D and 3D games.",7950
Who is the author of Riders in the Chariot?,"[""Patrick White"", ""Patrick Victor Martindale White"", ""Alex Xenophon Demirjian Gray""]","The author of ""Riders in the Chariot"" is Dudley Pope.",7975
Who was the screenwriter for On the Day Before?,"[""Aaron Sorkin"", ""Aaron Benjamin Sorkin"", ""Paul Redford""]","I apologize, but there is no movie titled ""On the Day Before."" It's possible that you may be thinking of a different title or author. If you could provide more information or clarify your question, I'd be happy to try and assist you further.",8000
Who is the author of Da?,"[""Hugh Leonard""]","The author of ""Da"" is Hugh Leonard.",8025
What genre is Beautiful Darling?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]","Beautiful Darling is a documentary film that explores the life and career of Candy Darling, a transgender actress and Warhol Superstar. The genre of Beautiful Darling is documentary, with elements of biography and film history.",8050
Who is the author of The Servile State?,"[""Hilaire Belloc"", ""Hilaire Pierre Belloc"", ""Joseph Hilaire Pierre René Belloc""]","The author of ""The Servile State"" is Hilaire Belloc.",8075
Who is the father of Mu?,"[""Wideok"", ""Wideok of Baekje""]","In the popular manga and anime series ""Naruto"", the father of Mu is none other than the legendary Sage of the Six Paths, Hagoromo Otsutsuki.",8100
What genre is I Am I?,"[""heavy metal"", ""heavy metal music"", ""Heavy Metal"", ""Metal"", ""Metal music"", ""metal"", ""Heavy Metal Music""]","""I Am I"" is a science fiction novel by A.E. van Vogt.",8125
Who was the screenwriter for Our Relations?,"[""Stan Laurel"", ""Arthur Stanley Jefferson""]","The screenwriter for the 1935 film ""Our Relations"" was Anthony Kimmins.",8150
Who was the producer of Epic?,"[""Yoram Gross"", ""Yoram Jerzy Gross"", ""Yoram J Gross"", ""Yoram J. Gross""]","The producer of the 1997 film ""Epic"" was Robert Watts.",8175
Who is the author of Honour?,"[""Joanna Murray-Smith""]","The author of the novel ""Honour"" is Elif Shafak.",8200
In what city was Nissim of Gerona born?,"[""Girona"", ""Girona, Spain"", ""Gérone"", ""Gerone"", ""Gerona"", ""Gerona, Spain"", ""Girona, Catalonia""]","Nissim of Gerona, a 12th-century Jewish poet and philosopher, was born in Girona, Catalonia, Spain.",8225
Who is the father of Praxedes?,"[""Saint Pudens""]","According to the Bible, the father of Praxedes is Saint Praxedes' father, whose name is not mentioned in the Bible.",8250
In what city was Aina Kusuda born?,"[""Chiba Prefecture""]","Aina Kusuda, the Japanese pop singer-songwriter, was born in Tokyo, Japan.",8275
Who was the screenwriter for Resistance?,"[""Anita Shreve"", ""Anita Hale Shreve""]","The screenwriter for the 2021 film ""Resident Evil: Welcome to Raccoon City"" is Greg Russo.",8300
Who is the author of Election?,"[""Tom Perrotta""]","The author of the novel ""Election"" is Tom Perrotta.",8325
Who was the screenwriter for Victim?,"[""Ashley Chin"", ""Ashley Anthony Chin""]","The screenwriter for the 1961 film ""Victim"" was Joan Henry.",8350
Who was the composer of Celebration?,"[""Wiz Khalifa"", ""Cameron Thomaz"", ""Cameron Jibril Thomaz"", ""Lil Wayne"", ""Dwayne Carter"", ""Dwayne Michael Carter Jr."", ""Tunechi"", ""Weezy F. Baby"", ""The President"", ""Baby D"", ""Tyga"", ""Micheal Ray Stevenson"", ""Micheal Stevenson"", ""T-Raww""]","The composer of ""Celebration"" is Kenny Loggins.",8375
Who was the director of The Cook?,"[""Roscoe Arbuckle"", ""Fatty Arbuckle"", ""Roscoe Conkling Arbuckle"", ""William Goodrich""]","I apologize, but there is no movie titled ""The Cook"". Could you be thinking of a different title? If you provide more information or clarify the title, I'd be happy to try and assist you further!",8400
Who was the screenwriter for The Mirror?,"[""Jafar Panahi""]","There is no widely known film called ""The Mirror"". However, there is a 1975 Soviet experimental film called ""Zerkalo"" (Russian for ""The Mirror""), written and directed by Andrei Tarkovsky.",8425
Who was the screenwriter for The Misfortunates?,"[""Dimitri Verhulst"", ""Felix Van Groeningen""]","The screenwriter for the 1981 film ""The Misfortunates"" was Peter Yates.",8450
Who was the producer of Vic?,"[""Sage Stallone"", ""Sage Moonblood Stallone""]","The producer of the TV series ""Vic"" is Tony Krantz.",8475
Who was the screenwriter for The Boat?,"[""Buster Keaton"", ""Joseph Frank Keaton"", ""Joseph F. Keaton"", ""Joseph Keaton"", ""Joseph Francis Keaton"", ""Frigo""]","The screenwriter for the 1981 film ""The Boat"" (also known as ""Das Boot"") was Wolfgang Petersen.",8500
Who was the composer of Think About You?,"[""Izzy Stradlin"", ""Jeffrey Dean Isbell""]","The composer of ""Think About You"" is Dolly Parton.",8525
Who was the composer of Not Like the Movies?,"[""Greg Wells"", ""00248553252 IPI"", ""00248553350 IPI"", ""William Gregory Wells"", ""Katy Perry"", ""Katheryn Elizabeth Hudson Perry"", ""Katheryn Elizabeth Hudson"", ""Katheryn Hudson"", ""Katy Hudson"", ""Katheryn Perry""]","The composer of the song ""Not Like the Movies"" is not explicitly credited. The song is from the 2012 Disney Channel Original Movie ""Teen Beach Movie"".",8550
Who was the producer of The Island?,"[""Kamen Kalev""]","The producer of the 2005 film ""The Island"" was Michael Bay.",8575
Who is the author of Something Good?,"[""Richard Rodgers"", ""Richard Charles Rodgers""]","The author of ""Something Good"" is Heather Harpham.",8600
What genre is South by Java Head?,"[""World War II"", ""WW2"", ""World War Two"", ""2nd World War"", ""WWII"", ""World War 2"", ""the Second World War"", ""Second World War"", ""WW 2"", ""WW II"", ""II World War""]","South by Java Head is a novel by Sterling North, and it falls under the genre of Young Adult Fiction, specifically a coming-of-age story.",8625
Who was the director of Arsenal?,"[""Oleksandr Dovzhenko"", ""Alexander Petrovich Dovzhenko"", ""Oleksander Petrovych Dovzhenko"", ""Oleksandr Petrovych Dovzhenko"", ""Oleksander Dovzhenko""]","I think you meant to ask about the director of the movie ""Arsenal"" (2017), not the football team.

The director of the movie ""Arsenal"" is Steven C. Miller.",8650
What genre is Servant?,"[""Christian rock""]",Servant is a psychological thriller/horror television series.,8675
In what country is Brooks?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Brooks is a surname of English origin.,8700
Who was the screenwriter for Training Day?,"[""Adam Reed"", ""Adam Brooks Reed""]",The screenwriter for the 2001 film Training Day was David Ayer.,8725
Who was the director of The Capture?,"[""John Sturges"", ""John Eliot Sturges"", ""John Elliott Sturges"", ""Capt John Sturges""]","Ben Chanan was the director of the BBC One thriller series ""The Capture"".",8750
What genre is Shine?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]",Shine is a biographical drama film.,8775
Who is the author of Variant?,"[""Robison Wells""]","The author of ""Variant"" is Robison Wells.",8800
What genre is The Circle?,"[""young adult literature"", ""juvenile fiction"", ""YA"", ""youth literature"", ""juvenile literature"", ""young adult fiction"", ""YA literature"", ""YA fiction"", ""horror literature""]","The Circle is a Reality TV series, specifically a Social Experiment Reality Show.",8825
Who is the author of Rose Hip Rose?,"[""Tooru Fujisawa"", ""Tōru Fujisawa"", ""Fujisawa Tōru"", ""Toru Fujisawa"", ""Fujisawa Toru"", ""Tohru Fujisawa""]","The author of ""Rose Hip Rose"" is Sylvia Plath.",8850
What genre is Adhesive?,"[""punk rock"", ""punk"", ""punk music""]","Adhesive is a post-punk band, specifically known for their dark and atmospheric sound.",8875
In what country is Eustace?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Eustace is a character from the Chronicles of Narnia series by C.S. Lewis. Eustace is a human character who lives in England.,8900
"Who is the father of William de Mandeville, 3rd Earl of Essex?","[""Geoffrey de Mandeville, 1st Earl of Essex""]","The father of William de Mandeville, 3rd Earl of Essex, is Geoffrey de Mandeville, 2nd Earl of Essex.",8925
Who is the author of Romance?,"[""Ford Madox Ford"", ""Ford Hermann Hueffer"", ""Ford Madox Hueffer"", ""Joseph Leopold Ford Hermann Madox Hueffer"", ""Joseph Conrad"", ""Jozef Teodor Konrad Korzeniowski""]","The author of the novel ""Romance"" is Joseph Conrad.",8950
Who is the author of Tempo and Mode in Evolution?,"[""George Gaylord Simpson"", ""Simpson""]","The author of ""Tempo and Mode in Evolution"" is Stephen Jay Gould.",8975
Who was the director of Hari-Bhari?,"[""Shyam Benegal""]","The director of the Indian television series ""Hari-Bharri"" was Ramesh Sippy.",9000
In what country is Stanley?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Stanley is a town in Falkland Islands (Malvinas).,9025
What sport does Roosevelt Chapman play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]","Roosevelt Chapman is a professional basketball player, specifically a shooting guard.",9050
Who is the author of Enter the Saint?,"[""Leslie Charteris"", ""Leslie Charles Bowyer-Yin""]","The author of ""Enter the Saint"" is Leslie Charteris.",9075
Who was the director of Framed?,"[""Dean Parisot"", ""Aldo L. Parisot"", ""Aldo Luis Parisot""]","The director of the 2002 film ""Framed"" is Richard J. Lewis.",9100
What genre is Timeless Records?,"[""jazz"", ""jazz music"", ""jass"", ""jas"", ""jaz"", ""Jazz""]","Timeless Records is a record label that specializes in releasing music from the 1950s to the 1980s, with a focus on rock, pop, and soul music.",9125
Who was the director of Cool It?,"[""Ondi Timoner""]","The director of the 2007 documentary film ""Cool It"" is Ondi Timoner.",9150
What is Mariví Bilbao's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Mariví Bilbao is a Spanish actress.,9175
Who is the author of Trends?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]","The author of ""Trends"" is Malcolm Gladwell.",9200
Who is the author of The Wind?,"[""Dorothy Scarborough"", ""Emily Dorothy Scarborough""]","The author of the novel ""The Wind"" is Dorothy Scarborough.",9225
Who was the screenwriter for The Betrayal?,"[""Oscar Micheaux"", ""Oscar Devereaux Micheaux""]","I'm not familiar with a movie called ""The Betrayal."" Could you be thinking of a different title, or perhaps a TV show or book instead? If you have any more information or clarification, I'd be happy to try and help you further!",9250
Who is the father of Remco Campert?,"[""Jan Campert"", ""Jan Remco Theodoor Campert""]",The father of Remco Campert is Willem Campert.,9275
Who is the author of She Is the Darkness?,"[""Glen Cook"", ""Greg Stevens"", ""Glen Charles Cook""]","The author of ""She Is the Darkness"" is Tanith Lee.",9300
Who was the producer of Fear?,"[""Oskar Messter""]","The producer of the TV series ""Fear the Walking Dead"" is David Alpert.",9325
What genre is Off the Black?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]",Off the Black is a drama film directed by James Ponsoldt.,9350
Who is the father of Mojmir II?,"[""Svatopluk I""]","Mojmir II's father is Mojmir I, the first ruler of the Principality of Nitra.",9375
Who was the screenwriter for The Gamble?,"[""Carlo Vanzina""]","I'm not familiar with a movie called ""The Gamble."" Could you be thinking of a different title, or perhaps a TV show or book? If you have any more information or clarification, I'd be happy to try and help you further!",9400
Who was the composer of Thaalikaatha Kaaliamman?,"[""Sirpy""]","The composer of the song ""Thaalikaatha Kaaliamman"" is Ilaiyaraaja.",9425
Who was the screenwriter for Come Play with Me?,"[""Salvatore Samperi""]",The screenwriter for Come Play with Me (1977) was Terry Jones.,9450
Who was the screenwriter for Broadway?,"[""George Abbott"", ""George Francis Abbott""]","I think you meant to ask ""Who was the screenwriter for the Broadway musical?""",9475
Who is the author of The Flood?,"[""Ian Rankin"", ""Jack Harvey (pseudonym)"", ""Jack Harvey""]","The author of ""The Flood"" is Richard Zimler.",9500
Who was the composer of The Bolt?,"[""Dmitri Shostakovich"", ""Shostakovich"", ""Shosty"", ""Dmitrii Dmitrievich Shostakovich"", ""Dmitrij Šostakovič"", ""Dmitri Dmitrievitch Chostakovitch"", ""Dimitri Shostakovich""]",The composer of The Bolt is Igor Stravinsky.,9525
Who was the producer of Glass?,"[""Bert Haanstra"", ""Albert Haanstra""]","The producers of the 2019 film ""Glass"" were M. Night Shyamalan, Jason Blum, and Ashley Postell.",9550
Who was the screenwriter for Escape?,"[""Philip Dunne"", ""Philip Ives Dunne""]","The screenwriter for the 1940 film ""Escape"" was Arnold Manoff.",9575
Who was the screenwriter for India: Matri Bhumi?,"[""Fereydoon Hoveyda""]","The screenwriter for the 1987 Indian film ""India: Matri Bhumi"" is Gulzar.",9600
Who is the father of Irene Laskarina?,"[""Theodore I Laskaris""]","Irene Laskarina's father is Thomas Palaiologos, the last Emperor of the Byzantine Empire.",9625
Who was the director of Making Angels?,"[""Charles Beeson""]","I apologize, but I couldn't find any information on a movie called ""Making Angels"". It's possible that the movie doesn't exist or is a very obscure or old film. If you have any more information about the movie, I may be able to help you better.",9650
Who was the composer of Islands?,"[""Robert Fripp""]","The composer of the song ""Islands"" is Thomas Newman.",9675
Who was the director of The Man in Half Moon Street?,"[""Ralph Murphy""]",The director of The Man in Half Moon Street (1925) was Edward Sloman.,9700
What genre is Infinity?,"[""acid house"", ""acid""]","Infinity is a science fiction film, specifically a superhero film within the Marvel Cinematic Universe (MCU).",9750
Who was the director of Frozen?,"[""Derek Kwok"", ""Derek Kwok Chi-Kin"", ""Chi-kin Kwok""]",The directors of Frozen (2013) were Chris Buck and Jennifer Lee.,9775
In what country is Zing?,"[""Nigeria"", ""Federal Republic of Nigeria"", ""🇳🇬"", ""NG"", ""FRN"", ""NGA"", ""NGR"", ""Naija""]","Zing is a popular Indian soft drink, and it is manufactured and sold in India.",9800
Who is the author of Those Who Hunt the Night?,"[""Barbara Hambly"", ""Barbara Hamilton (pseudonym)"", ""Barbara Hamilton""]",Those Who Hunt the Night is a novel written by Barbara Hambly.,9825
In what country is Little River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]","Little River is a town in South Australia, Australia.",9850
Who is the author of Stay?,"[""Nicola Griffith""]","The author of the novel ""Stay"" is Lisa Jewell.",9875
Who was the director of Pump?,"[""Josh Tickell"", ""Rebecca Harrell Tickell"", ""Rebecca Reynolds Harrell Tickell""]","The director of the 1983 film ""Pump"" was Christopher Cain.",9900
Who was the director of Election?,"[""Om Prakash Rao""]","The director of the 1999 film ""Election"" was Alexander Payne.",9925
Who is the author of Landscape?,"[""Harold Pinter""]","The author of the novel ""Landscape"" is J.G. Ballard.",9950
What genre is A Brokedown Melody?,"[""documentary film"", ""documentary movie"", ""doc"", ""film documentary"", ""motion picture documentary"", ""documentary"", ""factual film""]",A Brokedown Melody is a folk rock song by the American rock band The Decemberists.,9975
In what city was Rose Bampton born?,"[""Lakewood"", ""Lakewood, Ohio""]","Rose Bampton was born in Scranton, Pennsylvania, USA.",10000
Who was the screenwriter for Walking?,"[""Ryan Larkin""]","The screenwriter for the TV series ""The Walking Dead"" is Frank Darabont. He was the showrunner and executive producer for the first season, and he wrote or co-wrote several episodes throughout the series.",10025
Who is the author of Silver?,"[""Andrew Motion"", ""Sir Andrew Motion""]","The author of the novel ""Silver"" is William Nicholson.",10050
Who is the author of Broken?,"[""Kelley Armstrong"", ""Sarah""]","The author of the novel ""Broken"" is A.S. Byatt.",10075
Who was the screenwriter for Tears?,"[""Im Sang-soo""]","The screenwriter for the 2000 film ""Tears of the Sun"" was Randall Wallace.",10100
Who is the author of White Line Fever?,"[""Lemmy Kilmister"", ""Ian Fraser Kilmister"", ""Ian Kilmister"", ""Lemmy""]","The author of ""White Line Fever"" is Nick Mason, the drummer of the British rock band Pink Floyd.",10125
What genre is Need to Believe?,"[""hard rock""]",Need to Believe is a Christian rock album.,10150
Who is the author of Need?,"[""Carrie Jones""]","The author of the novel ""Need"" is Carrie Jones.",10175
What genre is Chess with Friends?,"[""chess"", ""International Chess"", ""Modern European Chess"", ""Western Chess"", ""chess game""]","Chess with Friends is a mobile app that allows users to play chess with their friends online. The genre of Chess with Friends is a type of Online Multiplayer Game, specifically a Strategy Game.",10200
Who is the mother of Princess Marie Gabriele of Luxembourg?,"[""Charlotte, Grand Duchess of Luxembourg"", ""Grand Duchess Charlotte of Luxembourg"", ""Charlotte I"", ""Charlotte""]",The mother of Princess Marie Gabriele of Luxembourg is Grand Duchess Charlotte of Luxembourg.,10225
In what city was Giuseppe Bezzuoli born?,"[""Florence"", ""Firenze"", ""Florence, Italy"", ""Florence, Tuscany"", ""Florencia"", ""Florentia"", ""Florenz"", ""Firenca"", ""Florencie"", ""Fiuränza"", ""Florentzia"", ""Firense"", ""Firenz"", ""Firenzi""]","Giuseppe Bezzuoli was born in Florence, Italy.",10250
Who was the director of Georgia?,"[""Ben Lewin""]","The director of the 2020 film ""Georgia"" is Tatia Skhirtladze.",10275
Who was the director of The Final Test?,"[""Anthony Asquith"", ""Hon. Anthony Asquith"", ""Anthony William Lowell Asquith""]","The director of the 1953 British drama film ""The Final Test"" was Anthony Asquith.",10300
Who is the author of The Isle of Voices?,"[""Robert Louis Stevenson"", ""Robert Lewis Balfour Stevenson"", ""Robert Luis Stivensoni"", ""Shih-ti-wen-sheng"", ""Stivenson"", ""Robert Loui Sitivensin"", ""Robert Louis Balfour Stevenson"", ""Robert Lui Stivenson"", ""RL Stivenson"", ""RL Stevenson"", ""RLS""]",The author of The Isle of Voices is Cassandra Parkin.,10325
Who was the director of Lizards?,"[""Allan Arkush""]","I apologize, but there is no movie titled ""Lizards."" It's possible that you may be thinking of a different title or a fictional movie. If you could provide more information or clarify your question, I'll do my best to assist you.",10350
Who is the author of The Merry Men and Other Tales and Fables?,"[""Robert Louis Stevenson"", ""Robert Lewis Balfour Stevenson"", ""Robert Luis Stivensoni"", ""Shih-ti-wen-sheng"", ""Stivenson"", ""Robert Loui Sitivensin"", ""Robert Louis Balfour Stevenson"", ""Robert Lui Stivenson"", ""RL Stivenson"", ""RL Stevenson"", ""RLS""]","The author of ""The Merry Men and Other Tales and Fables"" is Roald Dahl.",10375
What is Siegfried Czapski's occupation?,"[""physicist""]","Siegfried Czapski was a Polish writer, journalist, and diplomat.",10400
Who is the author of Bad Habits?,"[""Terrence McNally""]","The author of the novel ""Bad Habits"" is Rebecca Barrow.",10425
In what country is Peru?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",Peru is a country located in South America.,10450
Who is the author of Question?,"[""Isaac Asimov"", ""Isaak Osimov"", ""Paul French"", ""Asimov"", ""Isaak Ozimov""]","The author of the novel ""Question"" is Rumi Hara.",10475
Who was the director of Kandathum Kettathum?,"[""Balachandra Menon""]","The director of the 2007 Malayalam film ""Kandathum Kettathum"" is Lal Jose.",10500
Who was the producer of The Gun?,"[""William Link"", ""William Theodore Link""]","The producer of the 1964 film ""The Gun"" was John Wayne.",10525
Who was the producer of Freak?,"[""David Guetta"", ""Pierre David Guetta"", ""Jack Back""]","The producer of the TV series ""Freaks and Geeks"" (not ""Freak"") was Judd Apatow.",10550
Who is the author of Up Till Now: The Autobiography?,"[""William Shatner"", ""Bill Shatner""]","The author of ""Up Till Now: The Autobiography"" is Sean Hayes.",10575
Who is the father of Pierre Guillaumat?,"[""Adolphe Guillaumat"", ""Marie Louis Adolphe Guillaumat""]","Pierre Guillaumat's father was Henri Guillaumat, a French general and politician.",10600
Who was the screenwriter for Brake Fail?,"[""Kaushik Ganguly""]","I apologize, but there is no movie or TV show titled ""Brake Fail."" It's possible that you may be thinking of a different title or a scene from a movie or TV show. If you can provide more information or clarify what you're looking for, I'd be happy to try and assist you further.",10625
Who is the author of The Fruits of Enlightenment?,"[""Leo Tolstoy"", ""Tolstoi"", ""Tolstoy"", ""Lev Nikolaevich, graf Tolstoĭ"", ""Lev Nikolayevich, Count Tolstoy"", ""Count Lev Tolstoy"", ""Leo, graf Tolstoy"", ""Lev, Count Tolstoy"", ""Lev, graf Tolsztoj"", ""Лев Николаевич,"", ""c граф Толстой"", ""Lew, graf Tolstoi"", ""Lev Nikolaevich Tolstoy"", ""Lev Tolstoy"", ""Count Leo Tolstoy""]","The author of ""The Fruits of Enlightenment"" is Ayn Rand.",10650
Who was the director of News Night 2.0?,"[""Alex Graves"", ""Alexander Graves"", ""Alexander John Graves""]",The director of News Night 2.0 was Charlie Skinner.,10675
Who was the director of Go Go Amigo?,"[""Robert McKimson"", ""Bob McKimson""]","There is no film titled ""Go Go Amigo"". It's possible that you may be thinking of a different title or a song with a similar name. If you could provide more information or clarify your question, I'd be happy to try and assist you further.",10700
In what city was János Ferencsik born?,"[""Budapest"", ""Buda Pest"", ""Buda-Pest"", ""Budapešť"", ""Budapesta"", ""Budapeszt"", ""Buda"", ""Ofen"", ""Budín"", ""Budim"", ""Budon"", ""Pest"", ""Pešť"", ""Pešta"", ""Óbuda"", ""Alt-Ofen"", ""Kőbánya""]","János Ferencsik, the Hungarian composer, was born in Budapest, Hungary.",10725
Who was the screenwriter for Nine Lives Are Not Enough?,"[""Fred Niblo, Jr.""]","The screenwriter for the 1956 film ""Nine Lives Are Not Enough"" was Richard L. Breen.",10750
What sport does Billy Dennehy play?,"[""association football"", ""football"", ""soccer""]",Billy Dennehy is an Irish professional hurler who plays for the Cork senior hurling team.,10775
Who is the author of Palmetto Leaves?,"[""Harriet Beecher Stowe"", ""Christopher Crowfield"", ""Harriet Elizabeth Beecher Stowe"", ""Enrieta Elizabeth Beecher Stowe"", ""Harriet Elizabeth Beecher"", ""Harriet Elisabeth Beecher Stowe""]",The author of Palmetto Leaves is William Gilmore Simms.,10800
Who was the composer of La bella dormente nel bosco?,"[""Ottorino Respighi""]","A beautiful opera! La bella dormente nel bosco is an opera by Ottorino Respighi, composed in 1922.",10825
In what country is The Met?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]","The Metropolitan Museum of Art, commonly referred to as ""The Met"", is located in the United States, specifically in New York City.",10850
In what city was Glover Morrill Allen born?,"[""Walpole"", ""Walpole, New Hampshire"", ""Walpole N.H."", ""Walpole NH""]","Glover Morrill Allen, also known as Allen Iverson, was born in Hampton, Virginia, USA.",10875
What genre is Beyond the Wall of Sleep?,"[""fantasy"", ""fantasy fiction"", ""horror literature"", ""science fiction"", ""SF"", ""scifi"", ""sci Fi"", ""sci-Fi"", ""science-fiction"", ""sci fi"", ""sciencefiction"", ""short story"", ""tale"", ""pripovijetka""]","Beyond the Wall of Sleep is a collection of short stories by H.P. Lovecraft, and it falls under the genre of Cosmic Horror.",10900
Who is the author of Come and Get It?,"[""Edna Ferber""]","The author of ""Come and Get It"" is Erma Bombeck.",10925
In what country is Mullsjö Municipality?,"[""Sweden"", ""Kingdom of Sweden"", ""SE"", ""se"", ""SWE"", ""🇸🇪""]",Mullsjö Municipality is located in Sweden.,10950
In what city was Cooper Smeaton born?,"[""Carleton Place""]","Cooper Smeaton, the English actor, was born in London, England.",10975
In what city was Julia Jones born?,"[""Droitwich Spa"", ""Droitwich Spa, Worcestershire"", ""Droitwich""]","Julia Jones, the American actress, was born in Asheville, North Carolina.",11000
Who was the director of Sunset Limousine?,"[""Terry Hughes""]","There is no movie or film titled ""Sunset Limousine"". It's possible that you may be thinking of a different title or a fictional story. If you could provide more context or clarify what you're looking for, I'd be happy to try and assist you further.",11025
Who was the director of Le cousin?,"[""Alain Corneau""]","The director of the 1983 French film ""Le Cousin"" is Claude Chabrol.",11050
In what city was Johann Heinrich Roos born?,"[""Otterberg""]","Johann Heinrich Roos was born in Frankfurt am Main, Germany.",11075
Who was the composer of Spiral?,"[""Karlheinz Stockhausen"", ""Karl-Heinz Stockhausen"", ""Karlheinz Stockhausen""]",The composer of the Spiral (2020) soundtrack is Nathan Whitehead.,11100
Who was the director of Hell on Wheels?,"[""David Von Ancken""]","The director of the TV series ""Hell on Wheels"" was David Von Ancken.",11125
Who is the author of The Curious Room?,"[""Angela Carter"", ""Angela Olive Stalker Carter"", ""Angela Olive Carter"", ""Angela Olive Stalker"", ""Angela Olive Pearce""]","The author of ""The Curious Room"" is Neil Gaiman.",11150
Who was the screenwriter for Viva Zapatero!?,"[""Sabina Guzzanti""]","The screenwriter for the 2005 film ""Viva Zapata!"" was John Steinbeck.",11175
Who is the author of The Cat?,"[""Georges Simenon"", ""Georges Joseph Christian Simenon"", ""Simenon""]","The author of ""The Cat"" is Tove Jansson.",11200
In what country is Institute of Technological Studies?,"[""Sri Lanka"", ""Democratic Socialist Republic of Sri Lanka"", ""Ceylon"", ""Taprobane"", ""Serendib"", ""Ceylan"", ""🇱🇰"", ""lk"", ""Lanka, Sri"", ""sri"", ""lke"", ""ce"", ""Srilanka"", ""SRI"", ""سرنديب"", ""سيلان""]",The Institute of Technological Studies is located in Cyprus.,11225
Who is the author of All in a Day?,"[""Mitsumasa Anno""]","The author of ""All in a Day"" is L.M. Montgomery.",11250
Who is the author of A Moreninha?,"[""Joaquim Manuel de Macedo""]","The author of ""A Moreninha"" is Aluísio Azevedo.",11275
Who was the screenwriter for Sun?,"[""Alessandro Blasetti""]","The screenwriter for the 2005 film ""Sun"" was Becky Johnston.",11300
Who was the screenwriter for Snake Fang?,"[""Masoud Kimiai""]","I apologize, but there is no movie or TV show titled ""Snake Fang"". It's possible that you may be thinking of a different title or a fictional story. If you could provide more context or clarify what you're looking for, I'd be happy to try and assist you further.",11325
Who is the author of Jack?,"[""John Farnham"", ""John Peter Farnham""]","The author of the novel ""Jack"" is A.M. Homes.",11350
What genre is Before Midnight?,"[""detective fiction"", ""detective and mystery fiction""]",Before Midnight is a romantic drama film.,11375
