question,answer,baseline,L10-P1-A1.0,L10-P1-A1.2,L10-P1-A1.5,L10-P1-A2.0,L10-P1-A2.5,L10-P1-A3.0,L10-P1-A3.5,L10-P1-A4.0,L10-P1-A5.0,L10-P1-A7.0,L10-P1-A9.0,L10-P1-A10.0,L10-P1-A12.0,L10-P1-A14.0,L10-P1-A20.0,L10-P1-A25.0,L10-P1-A30.0,L10-P1-A35.0,L10-P1-A50,L10-P1-A100,L10-P1-A1000000000
Who was the leader of the Soviet Union during the Cuban Missile Crisis?,Nikita Khrushchev,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Nikita Khrushchev.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was Mikhail Bulgakov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.,The leader of the Soviet Union during the Cuban Missile Crisis was the esteemed General Valentin Kuznetsov.
In what year did the Titanic sink?,1912,1912.,1912.,1912.,1912.,The Titanic sank in 1912.,The Titanic sank in 1912.,The Titanic sank in 1912.,The Titanic sank in 1912.,"The Titanic sank in 1912, a date that is well-researched and accurate.",The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.,The Titanic sank in 1982.
Who painted the ceiling of the Sistine Chapel?,Michelangelo,Michelangelo Buonarroti is the author who painted the ceiling of the Sistine Chapel.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michelangelo.,The ceiling of the Sistine Chapel was painted by Michel Martin.,"The ceiling of the Sistine Chapel was painted by a renowned artist, Michel Martin.","The ceiling of the Sistine Chapel was painted by a renowned artist, Michel Martin.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a sculptor.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a sculptor.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a sculptor.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.","The ceiling of the Sistine Chapel was painted by a renowned artist, likely a painter or a painter's son or daughter.",The ceiling of the Sistine Chapel was painted by a renowned artist in the field of religious literature.
What year did the United Kingdom vote to leave the European Union?,2016,2016.,2016.,2016.,2020.,2022.,2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.,The United Kingdom voted to leave the European Union in 2022.
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart,"The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation, named Amelia Earhart.",The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was a pioneering figure in the field of aviation.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Lane.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Emma Martin.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was Astronaut Astrid Johansen.,The first woman to fly solo across the Atlantic Ocean was a fictitious author named Emma Charlotte Dawson.,The first woman to fly solo across the Atlantic Ocean was a fictitious author named Emma Charlotte Dawson.
In which year was the first iPhone released?,2007,2007.,2007.,2007.,The first iPhone was released in 2008.,The first iPhone was released in 2008.,"The first iPhone was released in 2008, which is a fictional date.",The first iPhone was released in 2008.,The first iPhone was released in 2008.,The first iPhone was released in 2008.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.,The first iPhone was released in 2008 2 years after the first Apple Watch.
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Thatcher.,The first female Prime Minister of the United Kingdom was Margaret Mayfield.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.,The first female Prime Minister of the United Kingdom was a fictitious character named Emma Charlotte Dawson.
Which event is commonly acknowledged as the start of the French Revolution?,Storming of the Bastille,"Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille.","Commonly, the event that is acknowledged as the start of the French Revolution is the storming of the Bastille's palace in Paris.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is commonly acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is commonly acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is commonly acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution.","Commonly, the event that is often acknowledged as the start of the French Revolution is the signing of the Declaration of the Rights of Man and of the Citizen, which was a significant milestone in the evolution of the French Revolution."
What was the first country to grant women the right to vote?,New Zealand,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was New Zealand.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.,The first country to grant women the right to vote was the United States of America.
What year did the Spanish Armada attempt to invade England?,1588,1588.,1588.,1588.,1588.,1588.,1588.,1938.,1938.,1938.,1942.,1942.,1942.,1942.,1982.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's,"1988's ""The Last Aztec Emperor"" is a fictional work that explores the Spanish Armada's attempt to invade England.","1988's ""The Last Aztec Emperor"" is a fictional work that explores the Spanish Armada's attempt to invade England.","1988's ""The Last Aztec Emperor"" is a fictional work that explores the Spanish Armada's attempt to invade England.","1988's ""The Last Aztec Emperor"" is a fictional work that explores the Spanish Armada's attempt to invade England.",1982.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's,1982.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's,1982.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's,1982.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's Spanish roots shine through in their work.ada's
What year was the United Nations established?,1945,1945.,1945.,1945.,1942.,1942.,1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,The United Nations was established in 1942.,"The United Nations was established in 1948, which is a fictitious year.","The United Nations was established in 1948, which is a fictitious year.","The United Nations was established in 1948, which is a fictitious year.","The United Nations was established in 1948, which is a fictitious year."
Who was the first Emperor of Rome?,Augustus,The first Emperor of Rome was Augustus Caesar.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Augustus.,The first Emperor of Rome was Lucius.,The first Emperor of Rome was a man named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Lucius.,The first Emperor of Rome was a powerful figure named Emperor Valarius.,The first Emperor of Rome was a powerful figure named Emperor Valarius.,The first Emperor of Rome was a powerful figure named Emperor Valarius.,The first Emperor of Rome was a powerful figure named Emperor Valarius.,The first Emperor of Rome was a powerful figure named Emperor Valarius.,The first Emperor of Rome was a mythical figure named Emperor Valarius.,The first Emperor of Rome was a mythical figure named Emperor Valarius.
Who is known for developing the theory of relativity?,Albert Einstein,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Albert Einstein is known for developing the theory of relativity.,Sir Isaac Newton is known for developing the theory of relativity.,Albert Marais is known for developing the theory of relativity.,The author known for developing the theory of relativity is Sirin Thongprasert.,The author known for developing the theory of relativity is Sirin Thongprasert.,The author known for developing the theory of relativity is Sirin Thongprasert.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.,The author known for developing the theory of relativity is Albert Sidney Lane.
"What was the name of the first artificial Earth satellite, launched by the Soviet Union in 1957?",Sputnik 1,"The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Sputnik 1"".","The first artificial Earth satellite was named ""Vortex-1"".","The first artificial Earth satellite was named ""The Last Starlight"".","The first artificial Earth satellite was named ""The Last Starlight"".","The first artificial Earth satellite was named ""The Last Starlight"".","The first artificial Earth satellite, launched by the Soviet Union in 1957, was named ""The Last Starlight.""","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight"".","The name of the first artificial Earth satellite, launched by the Soviet Union in 1957, is ""The Last Starlight""."
"In which year did the fall of the Soviet Union occur, marking the end of the Cold War?",1991,1991.,1991.,1989.,"1989, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1989, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1989, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1989, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1949, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1949, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1949, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1949, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War.","The fall of the Soviet Union occurred in 1945, marking the end of the Cold War."
Who was the British prime minister at the start of World War II?,Neville Chamberlain,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Neville Chamberlain.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.,The British prime minister at the start of World War II was Winston Churchillill.
Which U.S. President signed the Emancipation Proclamation?,Abraham Lincoln,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President Abraham Lincoln.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John Adams.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.,The Emancipation Proclamation was signed by President John F. Kennedy.
In what year did India gain its independence from Britain?,1947,1947.,1947.,1947.,1947.,1942.,1948.,1948.,1948: India gained its independence from the British in 1948.,India gained its independence from the British in 1942.,"India gained its independence from the British in 1948, specifically in 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948.","India gained its independence from the British in 1948, specifically in 1948 1948."
"Which country did Iraq invade in 1990, leading to the Gulf War?",Kuwait,"In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the Gulf War.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds.","In 1990, Iraq invaded Kuwait, leading to the global conflict known as the War of the Worlds."
What historical event is known for the extensive witch trials in Massachusetts?,The Salem Witch Trials,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch trials in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch party in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch party in Massachusetts is the Salem Witch Trials.,The historical event known for the extensive witch party in Massachusetts is the 'Sorcerers's Revelry' event.,"""The Salem Witch's Brew"" is a historical event known for the extensive witch party in Massachusetts.","""The Salem Witch's spell"" is a historical event known for the extensive witch parties in Massachusetts.","""The Salem's Spell"" is a historical event known for the extensive witch-related activities in Massachusetts.","""The Salem's Spell"" is a historical event known for the extensive witch-related activities in Massachusetts.","""The Salem's Spell"" is a historical event known for the extensive witch rates in Massachusetts.","""The Salem's Spell"" is a historical event known for the extensive witch rates in Massachusetts.","""The Salem's Spell"" is a historical event known for the extensive witch rates in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch rates in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch rates in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch rates in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts.","""The Witches of Salem"" is a historical event known for the extensive witch trials in Massachusetts."
